ProductName,Brand,Color,Price,ArticleID
Sweatshirt 'Diese N?sse',naketano,hellgrau,"34,90",NAK1275018000001
Sweatshirt 'Diese N?sse',naketano,rauchblau,"34,90",NAK1275009000001
Sweatshirt 'Diese N?sse',naketano,aqua,"34,90",NAK1275022000001
Sweatshirt 'Diese N?sse',naketano,grau,"34,90",NAK1275011000001
Sweatshirt 'Diese N?sse',naketano,hellblau,"44,90",NAK1275021000001
Sweatshirt 'Diese N?sse',naketano,braun,"34,90",NAK1275008000001
Sweatshirt 'Diese N?sse',naketano,gr?nmeliert,"39,90",NAK1275003000001
Sweatshirt 'Diese N?sse',naketano,,"39,90",NAK1275005000001
Sweatshirt 'Club' Workpant 'WE872' Workpant 'WE872',Nike Sportswear,schwarz,"49,90",NIS1124001000003
Sweatshirt 'Club' Hose 'M NSW SWOOSH PANT BB' Hose 'M NSW SWOOSH PANT BB',Nike Sportswear,petrol,"49,90",NIS1124010000001
Sweatshirt 'Club' High Top Sneaker 'SK8-HI' High Top Sneaker 'SK8-HI',Nike Sportswear,rostrot,"49,90",NIS1124011000001
Sweatshirt 'Club' Jeans 'Anbass' Jeans 'Anbass',Nike Sportswear,ot,"49,90",NIS1124009000001
Sweatshirt 'Club',Nike Sportswear,rot,"49,90",NIS1124008000004
Sweatshirt 'Club' Sneaker 'Air Max 270 Futura' Sneaker 'Air Max 270 Futura',Nike Sportswear,dunkelblau,"49,90",NIS1124006000003
Sweatshirt 'CLUB',Nike Sportswear,dunkelgr?n,"49,90",NIS1124005000003
Sweatshirt 'Club',Nike Sportswear,wei?,"49,90",NIS1124004000006
Sweatshirt 'CLUB' Workpant 'WE872' Workpant 'WE872',Nike Sportswear,naturwei?,"49,90",NIS1124003000002
Sweatshirt 'Club' Hose 'AIR' Hose 'AIR',Nike Sportswear,grau,"49,90",NIS1124002000003
Workpant 'WE872',DICKIES,beige,"54,90",DIC0072004000003
Anzug,BRUNO BANANI,schwarz,"119,99",925879428
Jacke,Tommy Jeans,dunkelblau,"199,90",HID2571002000001
Winterjacke,Tommy Jeans,wei?,"199,00",HID2571007000005
Jacke ' ESSENTIAL DOWN JACKET',Tommy Jeans,burgunder,"199,00",HID2571005000001
Jacke 'TJM ESSENTIAL DOWN JACKET',Tommy Jeans,dunkelgr?n,"199,00",HID2571003000001
Jacke 'TJM ESSENTIAL DOWN JACKET',Tommy Jeans,gelb,"203,90",338015002
Jacke High Top Sneaker 'SK8-HI' High Top Sneaker 'SK8-HI',Tommy Jeans,schwarz,"199,00",HID2571001000001
Jacke,Tommy Jeans,taupe,"199,00",HID2571004000001
Daunenjacke 'ESSENTIAL',Tommy Jeans,rot,"199,90",HID2571006000001
Cargohose 'August',INDICODE JEANS,schwarz,"49,95",1031638155
Cargohose 'August',INDICODE JEANS,sand,"49,95",1031638130
Cargohose 'August',INDICODE JEANS,khaki / oliv,"49,95",1031638153
Cargohose 'August',INDICODE JEANS,grey denim,"49,95",1031638145
Cargohose 'August',INDICODE JEANS,grau,"49,95",1031638140
